ID;AREA;TM;TBP;HLM;EE;DI;TE;DA;AE;AR;RUE
239;N1;71,74;79,11;76,25;78,08;62,30;73,78;99,70;57,87;62,41;95,78
240;N1;70,03;74,50;74,74;62,05;32,19;70,93;70,86;56,00;60,70;67,88
241;N1;65,78;68,74;69,99;70,64;49,86;60,70;99,70;48,89;52,24;96,21
242;N1;59,84;62,82;63,62;44,59;20,50;62,12;36,85;50,41;53,19;35,17
243;N1;87,18;96,36;92,31;86,25;63,29;55,86;98,61;46,79;;95,65
244;N1;82,10;87,27;87,65;66,54;55,00;57,53;39,46;47,45;49,20;37,40
245;N1;66,83;74,54;74,29;65,69;31,39;64,88;87,39;49,96;53,95;84,64
246;N1;70,47;76,77;76,96;61,16;40,93;73,36;52,04;55,68;60,84;50,02
247;N1;62,87;71,16;70,01;67,71;34,31;48,28;99,70;37,79;39,39;96,08
248;N1;71,30;78,66;79,00;79,77;65,61;61,66;99,70;50,12;52,02;96,14
249;N1;59,26;67,92;67,44;58,03;51,57;60,55;48,64;49,47;52,28;46,28
250;N1;74,29;79,70;78,61;66,44;77,12;61,79;35,16;49,72;53,42;33,40
251;N1;64,29;72,25;72,21;64,35;60,48;54,31;54,65;44,01;46,43;52,46
252;N1;54,22;55,63;55,23;51,66;41,57;64,79;56,70;49,42;54,93;54,86
253;N1;67,34;73,96;71,50;55,16;46,49;76,91;31,54;62,41;64,55;30,48
254;N1;81,72;91,58;89,96;86,58;69,75;77,33;99,70;59,72;65,43;96,00
255;N1;61,18;65,25;67,97;70,88;54,57;60,93;99,70;46,32;52,70;95,99
256;N1;51,28;57,46;56,77;49,37;36,55;63,51;51,02;50,61;54,98;49,46
257;N1;69,65;79,40;77,21;65,62;65,20;68,52;42,75;55,84;57,31;40,79
258;N1;46,67;48,92;49,20;56,56;34,57;57,67;99,70;46,72;47,87;96,49
259;N1;60,97;67,98;65,08;57,84;16,55;84,25;85,17;63,87;71,86;81,96
260;N1;76,60;81,87;82,79;73,99;75,78;58,07;61,92;44,50;48,40;59,19
261;N1;64,61;70,76;69,02;54,64;48,96;58,20;33,96;44,92;49,52;32,40
262;N1;71,35;77,84;76,41;62,09;63,25;58,83;34,15;48,68;48,33;32,23
263;N1;71,53;77,85;77,34;59,52;28,98;48,40;57,37;39,68;39,49;55,45
264;N1;88,74;95,62;94,06;84,81;84,76;75,98;68,78;60,73;64,45;66,62
265;N1;59,98;66,02;66,28;63,43;36,57;71,18;91,65;54,34;60,01;88,67
266;N1;72,59;81,08;78,84;65,26;54,06;68,06;49,82;55,20;58,32;47,52
267;N1;65,16;74,62;72,15;66,00;23,25;67,88;99,70;51,79;57,92;96,33
268;N1;93,74;98,60;96,85;80,66;55,58;74,56;77,87;58,52;62,81;74,78
269;N1;58,45;66,49;63,95;62,82;59,16;76,60;64,70;62,42;66,34;62,53
270;N1;69,64;78,75;77,99;63,95;26,01;64,51;78,47;49,70;54,68;75,76
271;N1;54,47;64,27;62,81;60,73;22,06;61,86;98,17;48,58;53,81;94,97
272;N1;59,48;62,57;62,24;60,22;31,47;55,06;91,19;42,94;47,35;88,13
273;N1;65,33;67,55;70,50;62,63;21,84;71,39;97,36;54,96;60,53;94,40
274;N1;75,27;83,42;82,15;73,72;35,53;53,01;99,70;42,68;44,82;96,44
275;N1;83,27;89,83;89,99;70,67;39,45;78,06;69,51;59,29;66,44;67,12
276;N1;79,35;81,94;81,65;78,62;67,04;55,44;88,25;42,77;45,44;85,56
277;N1;64,38;65,47;67,21;44,98;23,55;76,08;25,12;58,95;65,65;24,00
278;N1;76,20;84,99;83,03;68,21;70,12;69,78;39,07;55,69;59,75;37,21
279;N1;68,69;77,01;74,23;72,14;51,70;64,94;92,23;52,31;55,96;88,55
280;N1;65,66;72,98;73,32;62,92;32,00;65,66;77,49;52,95;56,67;75,04
281;N1;70,53;80,99;78,25;77,13;54,15;83,61;99,70;63,32;71,62;95,91
282;N1;57,32;58,72;62,51;49,64;36,00;74,43;46,79;58,66;63,35;45,31
283;N1;57,03;63,67;61,72;46,54;18,16;69,22;45,82;55,91;58,73;44,26
284;N1;76,06;80,30;79,62;66,92;61,38;64,66;48,68;52,23;54,19;46,72
285;N2;66,48;69,97;70,25;63,79;20,22;64,44;99,70;52,91;54,81;96,15
286;N2;86,01;91,14;92,67;90,63;84,24;61,40;99,70;47,95;50,71;96,51
287;N2;70,67;74,26;75,48;61,68;64,73;82,77;35,26;62,54;71,11;33,74
288;N2;72,37;78,47;80,34;68,51;58,55;69,83;62,69;54,14;59,53;60,04
289;N2;48,84;55,67;56,31;46,01;25,39;56,45;51,33;44,08;48,42;48,97
290;N2;67,16;72,31;70,38;51,54;45,13;68,83;20,59;55,42;59,60;19,20
291;N2;70,51;76,26;75,24;59,22;72,96;60,84;16,44;46,98;51,71;15,65
292;N2;74,07;76,86;77,51;65,46;49,10;45,03;62,06;38,73;36,29;59,24
293;N2;66,12;71,57;73,05;75,25;60,62;57,70;99,31;46,05;48,99;95,79
294;N2;54,15;55,06;54,82;31,98;5,06;65,87;14,99;51,84;56,70;14,48
295;N2;78,58;87,86;83,60;78,01;47,21;73,43;99,70;58,83;62,45;96,60
296;N2;57,55;63,77;64,99;59,86;17,23;80,98;99,70;65,51;68,59;95,71
297;N2;63,53;65,28;68,37;66,59;64,28;61,67;72,98;48,44;52,13;70,19
298;N2;60,26;62,53;62,73;45,68;29,90;69,80;31,70;53,13;58,23;29,78
299;N2;72,71;83,21;82,84;78,38;55,21;84,23;99,70;65,86;71,87;96,13
300;N2;61,68;66,23;65,99;60,48;32,66;72,01;82,61;56,39;60,13;79,36
301;N2;78,85;85,16;83,74;74,54;54,05;66,83;79,98;52,50;55,18;76,96
302;N2;66,37;67,45;68,55;55,65;35,41;59,65;57,03;49,07;49,04;55,05
303;N2;66,17;71,61;73,79;65,24;69,42;60,93;51,94;49,02;50,48;49,39
304;N2;67,77;69,27;72,01;66,88;65,69;69,38;64,98;55,74;59,80;62,29
305;N2;54,10;62,95;60,68;63,17;35,00;77,08;99,70;57,87;65,71;95,95
306;N2;93,96;97,09;97,40;90,79;74,00;69,40;99,70;52,43;58,71;96,40
307;N2;64,44;66,66;66,40;72,42;61,43;53,96;99,70;41,08;46,47;96,13
