"ID";"Edad";"Sexo";"NivelEducacion";"EstadoCivil";"NivelSocEco";"HorasLogeadas";"HorasHabladas";"ContactosEfectivosPromedio";"RegistrosTerminados";"ProdMayorUbral";"ProdPromAprobada"
307;23;"m";"em";"s";"c3c4";180.29;29.92;0;0;"si";320526.67
308;31;"f";"ts";"c";"c2";104.92;37.54;71;116;"no";68978
309;31;"f";"em";"s";"c3c4";97.26033333;33.42933333;172;381;"no";46381
310;30;"m";"un";"c";"c3c4";47.7625;23.5075;34;91.25;"no";140125
311;25;"m";"ts";"s";"c3c4";182.9066667;53.04333333;378;647.3333333;"si";307500
312;44;"m";"un";"c";"c2";121.55;19.7;184;478;"si";232000
313;26;"f";"ts";"s";"c3c4";28.095;8.285;35.5;95.5;"no";6000
314;25;"f";"em";"s";"c2";139.6866667;67.55666667;332;925.6666667;"si";172333.33
315;50;"m";"em";"c";"c3c4";117.225;75.275;286.5;926.5;"no";119202.5
316;24;"m";"un";"s";"c3c4";160.54;102.14;402;825;"si";196000
317;22;"m";"un";"s";"c3c4";105.74;37.13;87;102;"si";191507.5
318;35;"f";"em";"s";"c3c4";181.1533333;74.33666667;609.3333333;843.3333333;"si";243333.33
319;27;"f";"un";"s";"c3c4";137.185;47.505;308.5;603.5;"no";124500
320;31;"m";"em";"s";"c3c4";179.88;30.5;286;781;"si";160000
321;26;"f";"un";"s";"c2";158.445;37.21;19.5;777;"no";68750
322;23;"f";"un";"s";"c3c4";117.67225;31.37525;240;312;"si";199773.5
323;21;"m";"un";"s";"c3c4";138.388;37.1115;277.75;425.25;"si";303768.5
324;38;"m";"ts";"c";"c3c4";131.0554286;58.76528571;272.7142857;627.2857143;"si";347579.71
325;20;"m";"em";"s";"c3c4";131.3036667;22.53366667;101.1111111;501.4444444;"si";233968.11
326;31;"f";"em";"s";"fue";143.994;32.822;175.4;283.6;"si";351200
327;38;"f";"ts";"s";"c3c4";44.22;11.207;136;352;"no";16302
328;22;"f";"em";"s";"c3c4";88.2315;7.6875;72.5;95;"no";6831
329;45;"m";"em";"s";"c2";132.386;68.718;95.4;638;"si";279950
330;35;"f";"em";"c";"c3c4";154.34;47.59833333;180;297;"si";266916.67
331;22;"f";"em";"s";"c3c4";4.41;1.95;2;19;"no";4000
332;40;"m";"ts";"c";"c3c4";122.9738333;56.484;140.1666667;759;"si";370365.33
333;53;"m";"un";"s";"c3c4";137.088;27.598;154.2;330.4;"no";21400
334;49;"f";"ts";"c";"c3c4";114.485;20.88;68.75;352;"no";126500
335;27;"f";"em";"s";"e";95.94333333;55.06666667;394.3333333;513.3333333;"si";245000
336;41;"m";"em";"s";"c2";131.43975;54.9525;185.25;436.75;"si";373281.25
337;29;"m";"ts";"s";"e";155.47;41.394;163;780.6;"si";285550
338;28;"m";"ts";"s";"e";124.96;66.61;258;748;"si";312500
339;50;"m";"un";"c";"c3c4";189.66;83.66666667;249;619.6666667;"no";122333.33
340;29;"f";"sec";"c";"e";115.186;31.653;96;227;"no";73904
341;31;"m";"un";"s";"c3c4";176.82125;88.485;318.625;931.875;"si";298531.25
342;34;"m";"em";"c";"c3c4";153.27;59.545;223.3333333;573;"no";144916.67
343;37;"m";"em";"s";"c3c4";126.955;28.695;277.5;321;"no";143280
344;26;"f";"em";"s";"e";154.232;53.95;196.8;691;"si";175900
345;31;"m";"un";"s";"c3c4";65.05;26.05;141;227;"no";55500
